username,uid,type,verification,environment,science,energy,development,gov,media,business,civil,edu,relevance,fans,P0_policy,P1_policy,P2_policy,P3_policy
***,***,no,indiv,yes,no,no,yes,0,0,0,0,0,low,medium,4,4,4,3
***,***,gov,org,no,yes,no,no,1,0,0,0,0,high,high,1,1,1,1
***,***,gov,org,yes,no,no,no,1,0,0,0,0,high,medium,2,3,2,2
***,***,no,indiv,yes,no,no,no,0,0,0,0,0,low,high,4,1,2,2
***,***,gov,org,no,yes,no,no,1,0,0,0,0,high,high,2,2,2,1
***,***,gov,org,no,no,no,yes,1,0,0,0,0,high,medium,4,4,3,3
***,***,no,indiv,no,no,no,no,0,0,0,0,0,low,medium,2,3,1,2
***,***,no,org,no,no,no,no,0,0,0,0,0,low,high,missing,missing,1,2
***,***,gov,org,yes,no,no,no,1,0,0,0,0,medium,medium,3,3,2,3
***,***,no,indiv,yes,no,no,no,0,0,0,0,0,medium,medium,1,1,1,2
***,***,media,org,yes,no,no,no,0,1,0,0,0,high,high,3,2,2,3
***,***,gov,org,yes,no,no,no,1,0,0,0,0,medium,high,missing,3,3,3
***,***,media,org,no,no,no,no,0,1,0,0,0,low,high,missing,missing,missing,2
***,***,gov,org,yes,no,no,no,1,0,0,0,0,low,medium,4,missing,missing,4
***,***,gov,org,yes,no,no,no,1,0,0,0,0,medium,medium,4,3,2,3
***,***,no,no,no,no,no,no,0,0,0,0,0,low,low,3,4,3,4
***,***,gov,org,no,no,no,no,1,0,0,0,0,high,medium,2,2,2,3
***,***,no,no,no,no,no,no,0,0,0,0,0,low,low,2,3,1,2
***,***,business,org,no,no,no,no,0,0,1,0,0,high,high,3,3,3,3
***,***,no,org,no,no,no,yes,0,0,0,0,0,high,high,2,1,1,1
***,***,gov,org,yes,no,no,no,1,0,0,0,0,medium,medium,3,2,2,2
***,***,no,indiv,no,no,no,yes,0,0,0,0,0,low,medium,1,1,2,1
***,***,no,org,no,no,no,no,0,0,0,0,0,medium,high,1,1,1,1
***,***,gov,org,no,no,no,yes,1,0,0,0,0,high,medium,1,2,1,1
***,***,gov,org,yes,no,no,no,1,0,0,0,0,high,high,4,4,4,4
***,***,no,indiv,no,yes,no,no,0,0,0,0,0,high,high,1,1,1,1
***,***,no,org,yes,no,no,no,0,0,0,0,0,high,high,2,1,1,2
***,***,gov,org,no,no,no,no,1,0,0,0,0,high,high,2,2,3,3
***,***,no,indiv,no,no,no,no,0,0,0,0,0,high,low,4,2,2,3